,title,authors,paper_url
61,AdeptHEQ-FL: Adaptive Homomorphic Encryption for Federated Learning of Hybrid Classical-Quantum Models with Dynamic Layer Sparing,"['Md Abrar Jahin', 'Taufikur Rahman Fuad', 'M. F. Mridha', 'Nafiz Fahad', 'Md. Jakir Hossen']",https://openaccess.thecvf.com/content/ICCV2025W/BISCUIT/papers/Jahin_AdeptHEQ-FL_Adaptive_Homomorphic_Encryption_for_Federated_Learning_of_Hybrid_Classical-Quantum_ICCVW_2025_paper.pdf
62,Evaluating the Trustworthiness of Foundation Models for Skin Lesion Segmentation,"['Yusung Chu', 'Byungho Oh', 'Sejung Yang']",https://openaccess.thecvf.com/content/ICCV2025W/BISCUIT/papers/Chu_Evaluating_the_Trustworthiness_of_Foundation_Models_for_Skin_Lesion_Segmentation_ICCVW_2025_paper.pdf
63,Dino2-DR: A Trustworthy and Explainable Vision Transformer for Cross-Domain Diabetic Retinopathy Grading,"['Lucia Cascone', 'Luigi Di Biasi', 'Giuseppe Genito', 'Michele Nappi']",https://openaccess.thecvf.com/content/ICCV2025W/BISCUIT/papers/Cascone_Dino2-DR_A_Trustworthy_and_Explainable_Vision_Transformer_for_Cross-Domain_Diabetic_ICCVW_2025_paper.pdf
64,Understanding Dataset Bias in Medical Imaging: A Case Study on Chest X-rays,"['Ethan Dack', 'Chengliang Dai']",https://openaccess.thecvf.com/content/ICCV2025W/BISCUIT/papers/Dack_Understanding_Dataset_Bias_in_Medical_Imaging_A_Case_Study_on_ICCVW_2025_paper.pdf
65,Measuring and Addressing Information Leakage in Concept Bottleneck Models,"['Raffael Schoen', 'Baptiste Abeloos', 'Stéphane Herbin']",https://openaccess.thecvf.com/content/ICCV2025W/BISCUIT/papers/Schoen_Measuring_and_Addressing_Information_Leakage_in_Concept_Bottleneck_Models_ICCVW_2025_paper.pdf
66,TrustMatch: Mitigating Pseudo-Label Bias in Semi-Supervised Learning with Trust-Aware Refinement,"['Hongyang He', 'Yundi Hong']",https://openaccess.thecvf.com/content/ICCV2025W/BISCUIT/papers/He_TrustMatch_Mitigating_Pseudo-Label_Bias_in_Semi-Supervised_Learning_with_Trust-Aware_Refinement_ICCVW_2025_paper.pdf
67,WaveDamp: Enhancing Natural Robustness in Endoscopy Through Wavelet-Based Frequency Damping,"['Haiko Middeljans', 'Carolus H. J. Kusters', 'Tim J. M. Jaspers', 'Martijn R. Jong', 'Rixta A. H. Van Eijck Van Heslinga', 'Florance C. Slooter', 'Albert J. De Groof', 'Jacques J. Bergman', 'Peter H. N. De With', 'Fons Van Der Sommen']",https://openaccess.thecvf.com/content/ICCV2025W/BISCUIT/papers/Middeljans_WaveDamp_Enhancing_Natural_Robustness_in_Endoscopy_Through_Wavelet-Based_Frequency_Damping_ICCVW_2025_paper.pdf
68,HierVision: Standardized and Reproducible Hierarchical Sources for Vision Datasets,"['Tejaswi Kasarla', 'Ruthu Hulikal Rooparaghunath', ""Stefano D'arrigo"", 'Gowreesh Mago', 'Abhishek Jha', 'Melika Ayoughi', 'Swasti Shreya Mishra', 'Ana Manzano Rodríguez', 'Teng Long', 'Mina Ghadimi Atigh', 'Max Van Spengler', 'Pascal Mettes']",https://openaccess.thecvf.com/content/ICCV2025W/BEW/papers/Kasarla_HierVision_Standardized_and_Reproducible_Hierarchical_Sources_for_Vision_Datasets_ICCVW_2025_paper.pdf
69,Sparse Hyperbolic Convolutional Networks with Enhanced Object Localization via GradCAM Analysis,"['Vijayavallabh Jayamanikandan', 'Jithamanyu Settur', 'Lokesh Rajulapati', 'Raghunathan Rengaswamy']",https://openaccess.thecvf.com/content/ICCV2025W/BEW/papers/Jayamanikandan_Sparse_Hyperbolic_Convolutional_Networks_with_Enhanced_Object_Localization_via_GradCAM_ICCVW_2025_paper.pdf
70,Flatland and Beyond: Mutual Information Across Geometries,"['Youssef Wally', 'Johan Mylius-Kroken', 'Michael Kampffmeyer', 'Rezvan Ehsani', 'Vladan Milosevic', 'Elisabeth Wetzer']",https://openaccess.thecvf.com/content/ICCV2025W/BEW/papers/Wally_Flatland_and_Beyond_Mutual_Information_Across_Geometries_ICCVW_2025_paper.pdf
71,HAPPI: Hyperbolic Hierarchical Part Prototypes for Image Recognition,"['Hooman Vaseli', 'Victoria Wu', 'Nima Kondori', 'Nguyen Nhat Minh To', 'Andrea Fung', 'Ang Nan Gu', 'Purang Abolmaesumi']",https://openaccess.thecvf.com/content/ICCV2025W/BEW/papers/Vaseli_HAPPI_Hyperbolic_Hierarchical_Part_Prototypes_for_Image_Recognition_ICCVW_2025_paper.pdf
72,HIVE: A Hyperbolic Interactive Visualization Explorer for Representation Learning,"['Thijmen Nijdam', 'Derck Prinzhorn', 'Jurgen de Heus', 'Thomas Brouwer']",https://openaccess.thecvf.com/content/ICCV2025W/BEW/papers/Nijdam_HIVE_A_Hyperbolic_Interactive_Visualization_Explorer_for_Representation_Learning_ICCVW_2025_paper.pdf
73,Geometric Inductive Priors in Diffusion-Based Optical Flow Estimation,"['Alberto Pepe', 'Paulo Dos Santos Mendonca', 'Joan Lasenby']",https://openaccess.thecvf.com/content/ICCV2025W/BEW/papers/Pepe_Geometric_Inductive_Priors_in_Diffusion-Based_Optical_Flow_Estimation_ICCVW_2025_paper.pdf
